Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"main",0,3495.22,0,9.8604,"weather-app","C:\Users\Aleksandra\Desktop\MATF_Projekat\2026_Analysis_weather-app\weather-app\Source\main.cpp",9
"__scrt_common_main",0,3495.22,0,9.8604,"weather-app","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl",331
"__scrt_common_main_seh",0,3495.22,0,9.8604,"weather-app","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl",288
"invoke_main",0,3495.22,0,9.8604,"weather-app","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\startup\exe_common.inl",107
"WinMainCRTStartup",0,3495.22,0,9.8604,"weather-app","D:\a\_work\1\s\src\vctools\crt\vcstartup\src\startup\exe_winmain.cpp",17
"WinMain",0,3495.22,0,9.8604,"weather-app","C:\Users\qt\work\qt\qtbase\src\entrypoint\qtentrypoint_win.cpp",64
"qtEntryPoint",0,3495.22,0,9.8604,"weather-app","C:\Users\qt\work\qt\qtbase\src\entrypoint\qtentrypoint_win.cpp",45
"memmove",0.004993,0.004993,1.40858e-005,1.40858e-005,"VCRUNTIME140D","[unknown]",0
"Ordinal44",0,0.0490993,0,0.000138514,"UxTheme","[unknown]",0
"Ordinal96",0,0.648978,0,0.00183084,"UxTheme","[unknown]",0
"GetUserColorPreference",0,0.648978,0,0.00183084,"UxTheme","[unknown]",0
"IsCompositionActive",0,0.698077,0,0.00196935,"UxTheme","[unknown]",0
"Ordinal101",0,0.0490993,0,0.000138514,"UxTheme","[unknown]",0
"[00007FF8116D10AB]",0,384.74,0,1.08539,"mswsock","",0
"CallNtPowerInformation",0,0.0090421,0,2.55087e-005,"powrprof","[unknown]",0
"WaitForSingleObjectEx",10.4099,10.4099,0.0293675,0.0293675,"KERNELBASE","[unknown]",0
"WaitForMultipleObjectsEx",99.7635,99.7635,0.281444,0.281444,"KERNELBASE","[unknown]",0
"NtUserGetThreadState",0.0696549,0.0696549,0.000196504,0.000196504,"win32u","[unknown]",0
"NtUserPeekMessage",0.21728,0.371,0.00061297,0.00104663,"win32u","[unknown]",0
"NtUserGetKeyState",0.014534,0.014534,4.1002e-005,4.1002e-005,"win32u","[unknown]",0
"NtUserMessageCall",0.593053,0.65802,0.00167307,0.00185635,"win32u","[unknown]",0
"NtGdiBitBlt",0.0309765,0.0309765,8.73881e-005,8.73881e-005,"win32u","[unknown]",0
"NtUserGetProp",0.0380011,0.0380011,0.000107205,0.000107205,"win32u","[unknown]",0
"NtUserPostMessage",0.0319939,0.0319939,9.02583e-005,9.02583e-005,"win32u","[unknown]",0
"NtUserBeginPaint",0.0240066,0.0240066,6.77252e-005,6.77252e-005,"win32u","[unknown]",0
"NtUserSetTimer",0.0345523,0.0345523,9.74758e-005,9.74758e-005,"win32u","[unknown]",0
"NtUserKillTimer",0.0679307,0.0679307,0.00019164,0.00019164,"win32u","[unknown]",0
"NtUserCallTwoParam",0.0349477,0.0349477,9.85913e-005,9.85913e-005,"win32u","[unknown]",0
"NtUserDispatchMessage",0.0049994,0.0631333,1.41039e-005,0.000178106,"win32u","[unknown]",0
"NtUserGetForegroundWindow",0.0110204,0.0110204,3.10897e-005,3.10897e-005,"win32u","[unknown]",0
"NtUserIsChildWindowDpiMessageEnabled",0.0110982,0.0110982,3.13092e-005,3.13092e-005,"win32u","[unknown]",0
"NtUserMsgWaitForMultipleObjectsEx",6988.54,6988.54,19.7154,19.7154,"win32u","[unknown]",0
"BitBlt",0,0.0309765,0,8.73881e-005,"gdi32full","[unknown]",0
"CtfImeAssociateFocus",0,0.0059888,0,1.68951e-005,"MSCTF","[unknown]",0
"TF_Notify",0,0.0059888,0,1.68951e-005,"MSCTF","[unknown]",0
"TF_CreateCicLoadWinStaMutex",0,0.0059888,0,1.68951e-005,"MSCTF","[unknown]",0
"TF_GetInputScope",0,0.0059888,0,1.68951e-005,"MSCTF","[unknown]",0
"TF_CreateLangBarMgr",0,0.0059888,0,1.68951e-005,"MSCTF","[unknown]",0
"CoRevokeInitializeSpy",0,99.7635,0,0.281444,"combase","[unknown]",0
"BaseThreadInitThunk",0,7485.36,0,21.117,"KERNEL32","[unknown]",0
"TranslateMessage",0.006981,0.006981,1.96942e-005,1.96942e-005,"USER32","[unknown]",0
"PeekMessageW",0,0.371,0,0.00104663,"USER32","[unknown]",0
"IsIconic",0,0.648978,0,0.00183084,"USER32","[unknown]",0
